"PID","CWV","ZSB","copri","infl_prestige","infl_dominance","rel_prestige","rel_dominance","self_prestige","self_dominance","TOPS_coer","TOPS_coll","care_rel","care_infl","tradeoff","CWV_1","CWV_2R","CWV_3","CWV_4","CWV_5R","CWV_6","CWV_7R","CWV_8","CWV_9R","CWV_10R","ZSB_1","ZSB_2","ZSB_3","ZSB_4","ZSB_5R","ZSB_6R","ZSB_7","ZSB_8R","copri_1R","copri_2R","copri_3R","copri_4","exp_infl_1","exp_infl_3","exp_infl_5R","exp_infl_7","exp_infl_10","exp_infl_13","exp_infl_15","exp_infl_2","exp_infl_4","exp_infl_6","exp_infl_8","exp_infl_9R","exp_infl_11","exp_infl_12R","exp_infl_14","exp_infl_16","exp_rel_1","exp_rel_3","exp_rel_5R","exp_rel_7","exp_rel_10","exp_rel_13","exp_rel_15","exp_rel_2","exp_rel_4","exp_rel_6","exp_rel_8","exp_rel_9R","exp_rel_11","exp_rel_12R","exp_rel_14","exp_rel_16","self_1","self_3","self_5R","self_7","self_10","self_13","self_15","self_2","self_4","self_6","self_8","self_9R","self_11","self_12R","self_14","self_16","TOPS_coer_1","TOPS_coer_2","TOPS_coer_3","TOPS_coer_4","TOPS_coer_5","TOPS_coer_6","TOPS_coer_7","TOPS_coer_8","TOPS_coer_9","TOPS_coer_10","TOPS_coll_1","TOPS_coll_2","TOPS_coll_3","TOPS_coll_4","TOPS_coll_5","TOPS_coll_6","TOPS_coll_7","TOPS_coll_8","TOPS_coll_9","TOPS_coll_10","rel_care","rel_bother","infl_care","infl_bother","elg","att_1","att_2","age","employment","race","gender","income","edu","feedback","income_num","edu_num","white","man"
5,1.9,2.75,5.75,6,1.88888888888889,5.42857142857143,1.88888888888889,4.42857142857143,2.88888888888889,1.7,5.1,4,3,2,2,2,2,2,2,2,2,1,2,2,3,2,2,3,3,3,3,3,6,6,6,5,7,3,7,6,7,6,6,2,2,2,1,2,4,2,1,1,6,4,7,6,5,4,6,2,2,1,2,2,4,2,1,1,4,4,6,4,4,5,4,4,2,2,1,4,4,5,1,3,2,2,2,1,2,1,2,1,2,2,6,5,5,5,5,5,5,5,5,5,4,4,3,3,1,1,1,29,"Full-time","white","man","$20,001-$40,000","GED",NA,2,2,1,1
7,3.1,2.875,4.75,5.42857142857143,3.88888888888889,5.28571428571429,2.55555555555556,5.71428571428571,3.55555555555556,2.5,5.6,4,3.5,3,2,5,2,5,3,3,3,2,2,4,2,3,2,2,3,3,2,6,6,5,3,5,6,6,5,5,5,6,5,5,3,5,5,3,3,5,3,3,5,5,6,5,5,5,6,2,2,2,2,3,2,6,2,2,5,6,6,6,6,5,6,4,3,3,2,6,3,5,3,3,2,2,2,3,3,2,3,2,3,3,5,6,6,6,5,5,6,5,6,6,4,4,3,4,1,1,1,42,"Full-time","white","woman","$120,001-$140,000","PHD",NA,7,6,1,0
8,2.3,5.5,2.25,5.57142857142857,3.44444444444444,5.28571428571429,2.22222222222222,3.28571428571429,1.44444444444444,3.8,3.6,4.5,1,1,2,1,2,4,1,3,1,3,1,5,6,6,6,6,5,6,6,3,2,2,2,3,6,4,6,6,6,6,5,3,2,2,3,5,6,5,2,3,4,7,6,5,5,5,5,1,1,1,1,4,3,6,1,2,2,2,7,3,2,3,4,1,3,2,1,1,1,1,1,2,3,3,4,3,3,3,4,3,5,7,3,5,5,5,3,2,4,5,2,2,4,5,1,1,1,1,1,27,"Full-time","black","man","$120,001-$140,000","GED",NA,7,2,0,1
9,3.2,4.75,3.5,6.14285714285714,1.88888888888889,6.28571428571429,1.11111111111111,6,2.55555555555556,4.3,3.8,4,1,2,4,6,2,2,2,5,2,2,4,3,5,5,5,5,3,5,5,5,3,5,3,3,7,3,6,7,7,7,6,1,2,2,1,2,2,4,2,1,7,4,7,7,6,7,6,1,1,1,1,1,1,2,1,1,6,6,4,6,7,7,6,3,4,3,2,1,3,2,2,3,5,4,4,4,5,5,4,3,4,5,3,4,3,3,2,6,3,6,5,3,4,4,1,1,1,1,1,54,"Full-time","white","man","$120,001-$140,000","4yearColl",NA,7,4,1,1
11,3.6,3.75,2.75,6.28571428571429,4.66666666666667,5.71428571428571,1.22222222222222,5.71428571428571,4.33333333333333,4.6,5.2,4,4.5,4,3,7,3,5,2,3,3,5,3,2,3,5,5,5,2,2,3,5,3,3,3,2,7,7,4,7,6,6,7,7,2,7,1,6,6,7,5,1,6,6,7,6,5,5,5,1,1,1,1,2,1,2,1,1,5,6,7,6,5,5,6,5,5,5,5,5,4,6,3,1,5,5,5,5,3,5,5,3,5,5,6,6,5,5,5,6,6,6,5,2,4,4,4,5,1,1,1,28,"Full-time","black","woman","$40,001-$60,000","MA",NA,3,5,0,0
12,4,3.25,4.5,5,3.88888888888889,5.57142857142857,3.66666666666667,4.57142857142857,3.11111111111111,2.2,5.3,4.5,2,3,5,3,4,4,2,5,3,5,5,4,3,4,2,5,4,3,2,3,4,5,5,4,7,4,3,4,6,5,6,4,5,4,5,6,3,3,3,2,7,5,6,6,6,4,5,2,4,1,4,4,5,4,4,5,5,5,5,5,4,5,3,3,2,3,3,4,3,6,2,2,2,2,2,2,2,3,2,2,2,3,6,5,5,5,6,5,5,5,6,5,4,5,2,2,1,1,1,23,"Full-time","white","man","$60,001-$80,000","4yearColl",NA,4,4,1,1
13,3.9,4.625,4,4,4.22222222222222,3.71428571428571,3.77777777777778,4.57142857142857,4.55555555555556,4.2,4.4,3.5,2.5,3,3,3,4,4,4,5,4,4,5,3,5,5,5,4,4,5,5,4,3,4,4,5,5,4,3,4,4,4,4,4,3,5,4,5,5,3,5,4,3,4,4,4,4,4,3,4,4,4,3,4,4,5,3,3,5,4,4,5,4,5,5,5,5,5,4,3,4,5,5,5,5,4,4,4,5,5,3,4,5,3,5,4,5,4,5,4,4,5,3,5,3,4,2,3,1,1,1,26,"Part-time","white","woman","$100,001-$120,000","4yearColl",NA,6,4,1,0
14,1.8,2,4,6,5.55555555555556,5.71428571428571,1.55555555555556,4,2.44444444444444,2.9,6,3,2,1,3,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,4,6,6,6,6,6,2,2,1,2,2,1,2,1,1,4,5,6,4,2,3,4,2,2,2,2,4,2,4,2,2,2,4,2,3,2,2,2,5,3,4,6,6,6,6,6,6,6,6,6,6,3,3,2,2,1,1,1,29,"Full-time","white","woman","$60,001-$80,000","4yearColl",NA,4,4,1,0
15,4.2,3.625,4.5,4.14285714285714,4.55555555555556,5.42857142857143,3.33333333333333,4.57142857142857,3.77777777777778,2.8,5.4,2,2,4,3,6,3,3,5,4,5,3,5,5,3,3,3,2,5,5,3,5,6,5,5,2,6,3,3,5,4,4,4,5,6,5,5,4,4,5,2,5,6,6,5,6,6,6,3,3,6,3,3,3,3,3,3,3,6,5,4,5,6,3,3,3,3,3,4,6,5,6,2,2,3,3,3,3,3,2,3,3,3,2,6,5,6,5,6,5,5,5,6,5,2,2,2,2,1,1,1,46,"Full-time","white","man","$20,001-$40,000","2yearColl",NA,2,3,1,1
16,2.2,6.125,5.75,7,2.55555555555556,7,2.11111111111111,5.14285714285714,1,5.1,3.2,5,3,1,1,1,1,1,1,7,1,1,1,7,5,7,6,6,6,6,7,6,5,6,6,6,7,7,7,7,7,7,7,6,2,1,2,4,4,2,1,1,7,7,7,7,7,7,7,2,2,2,2,4,1,4,1,1,4,4,7,4,4,6,7,1,1,1,1,1,1,1,1,1,5,3,6,7,5,7,5,2,4,7,6,1,1,6,2,4,2,6,2,2,5,5,3,3,1,1,1,27,"Full-time","black","man","$40,001-$60,000","2yearColl",NA,3,3,0,1
