"PID","Status","Progress","Duration..in.seconds.","Finished","consent","commit","CWV_1","CWV_2","CWV_3","CWV_4","CWV_5","CWV_6","CWV_7","CWV_8","CWV_9","CWV_10","check_1","ZSB_1","ZSB_2","ZSB_3","ZSB_4","ZSB_5","ZSB_6","ZSB_7","ZSB_8","copri_1","copri_2","copri_3","copri_4","exp_infl_1","exp_infl_2","exp_infl_3","exp_infl_4","exp_infl_5","exp_infl_6","exp_infl_7","exp_infl_8","exp_infl_9","exp_infl_10","exp_infl_11","exp_infl_12","exp_infl_13","exp_infl_14","exp_infl_15","exp_infl_16","exp_rel_1","exp_rel_2","exp_rel_3","exp_rel_4","exp_rel_5","exp_rel_6","exp_rel_7","exp_rel_8","check_2","exp_rel_9","exp_rel_10","exp_rel_11","exp_rel_12","exp_rel_13","exp_rel_14","exp_rel_15","exp_rel_16","TOPS_coer_1","TOPS_coer_2","TOPS_coer_3","TOPS_coer_4","TOPS_coer_5","TOPS_coer_6","TOPS_coer_7","TOPS_coer_8","TOPS_coer_9","TOPS_coer_10","TOPS_coll_1","TOPS_coll_2","TOPS_coll_3","TOPS_coll_4","TOPS_coll_5","TOPS_coll_6","TOPS_coll_7","TOPS_coll_8","TOPS_coll_9","TOPS_coll_10","infl_care","rel_care","infl_bother","rel_bother","tradeoff","self_1","self_2","self_3","self_4","self_5","self_6","self_7","self_8","self_9","self_10","self_11","self_12","self_13","self_14","self_15","self_16","age","gender_.99_TEXT","race_5_TEXT","feedback","Employment_1","Employment_2","Employment_3","Employment_4","Employment_5","Employment_6","Employment_7","Employment_8","Employment_9","gender","race_1","race_2","race_3","race_4","race_5","race_6","edu","income"
1,"1","100","170","1","1","1","4","4","5","5","4","4","4","5","5","5","5","4","5","4","5","4","4","5","5","4","5","6","4","4","5","5","4","5","5","4","4","4","5","4","4","5","4","5","4","5","4","4","5","5","5","4","4","5","5","5","4","4","5","5","4","4","","","","","","5","6","3","","","","5","","","","4","","","","6","1","3","3","2","1","4","4","5","5","5","4","4","5","5","5","4","4","6","5","5","6","","","","","","","","","","","","","","","","","","","","","",""
2,"0","100","141","1","1","1","3","5","5","3","3","5","5","3","3","5","3","3","5","3","5","3","5","3","5","5","3","5","3","6","4","4","5","5","4","4","4","5","5","4","4","4","3","3","5","5","5","3","4","4","4","6","5","5","3","3","4","5","3","4","6","5","5","4","3","5","4","3","5","5","3","5","4","5","3","4","5","5","3","3","5","5","2","4","2","3","3","5","6","6","4","5","5","5","5","5","5","5","5","6","6","5","6","21","","","","","Part-time","","","","","","","","man","","","white","","","","GED","$20,001-$40,000"
3,"0","100","174","1","1","1","3","3","5","3","2","2","2","4","5","5","5","5","3","4","5","2","3","3","4","4","4","4","3","1","5","3","4","2","2","4","4","4","3","2","2","2","2","4","4","3","2","1","2","2","1","4","4","2","4","3","2","2","2","2","1","3","2","5","5","1","2","3","2","2","5","5","2","4","3","5","3","2","5","5","3","2","4","4","1","4","2","3","5","6","4","4","4","3","4","5","4","3","3","5","4","4","6","40","","","","Full-time","","","","","","","","","man","","","white","","","","4yearColl","$0-$20,000"
4,"0","100","232","1","1","1","6","7","4","6","2","5","6","6","6","3","5","6","6","5","3","6","5","5","5","5","5","6","5","5","5","6","5","2","6","7","6","1","5","4","1","5","5","5","1","6","5","4","5","1","5","5","6","3","1","6","5","1","5","5","5","1","6","7","6","7","6","6","6","6","6","6","6","2","4","4","5","3","6","5","6","6","5","2","5","2","5","6","6","6","7","1","6","6","7","1","6","6","1","6","5","6","1","27","","","","Full-time","","","","","","","","","man","","black","","","","","4yearColl","$60,001-$80,000"
5,"0","100","281","1","1","1","2","6","2","2","6","2","6","1","6","6","5","3","2","2","3","5","5","3","5","2","2","2","5","7","2","3","2","1","2","6","1","6","7","4","6","6","1","6","1","6","2","4","2","1","1","6","2","1","6","5","4","6","4","1","6","1","2","2","2","1","2","1","2","1","2","2","6","5","5","5","5","5","5","5","5","5","3","4","3","4","2","4","4","4","2","2","2","4","1","4","4","4","3","5","1","4","3","29","","","","Full-time","","","","","","","","","man","","","white","","","","GED","$20,001-$40,000"
6,"0","100","238","1","1","1","2","2","3","6","6","7","6","3","7","6","5","2","2","2","2","6","6","5","6","6","6","7","3","5","6","3","2","3","7","2","6","3","6","4","4","6","5","6","6","3","5","3","2","3","3","6","2","6","3","7","6","2","6","2","3","7","6","4","6","6","6","4","6","4","4","4","5","3","3","5","6","6","6","3","6","6","2","1","1","1","5","6","6","4","4","5","2","2","2","7","6","3","2","4","1","4","1","29","","","","Full-time","","","","","","","","","man","","black","","","","","4yearColl","$0-$20,000"
7,"0","100","216","1","1","1","2","3","2","5","5","3","5","2","6","4","5","2","3","2","2","5","5","2","2","2","3","5","5","6","5","6","3","3","5","5","5","5","5","3","3","6","3","5","3","5","2","5","2","2","2","5","2","1","5","5","2","2","5","2","6","2","2","2","2","3","3","2","3","2","3","3","5","6","6","6","5","5","6","5","6","6","3","4","4","4","3","5","4","6","3","2","3","6","2","2","6","3","3","5","3","6","3","42","","","","Full-time","","","","","","","","","woman","","","white","","","","PHD","$120,001-$140,000"
8,"0","100","267","1","1","1","2","7","2","4","7","3","7","3","7","3","5","6","6","6","6","3","2","6","5","6","6","6","3","6","3","4","2","2","2","6","3","3","6","6","3","6","2","5","3","4","1","7","1","2","1","5","1","1","4","5","3","2","5","1","5","2","3","3","4","3","3","3","4","3","5","7","3","5","5","5","3","2","4","5","2","2","1","4","1","5","1","2","1","2","3","1","2","3","1","7","2","1","7","3","1","4","2","27","","","","Full-time","","","","","","","","","man","","black","","","","","GED","$120,001-$140,000"
9,"0","100","283","1","1","1","4","2","2","2","6","5","6","2","4","5","5","5","5","5","5","5","3","5","3","5","3","5","3","7","1","3","2","2","2","7","1","6","7","2","4","7","2","6","1","7","1","4","1","1","1","7","1","1","7","6","1","6","7","1","6","1","5","4","4","4","5","5","4","3","4","5","3","4","3","3","2","6","3","6","5","3","1","4","1","4","2","6","3","6","4","4","3","6","2","7","7","3","6","7","2","6","3","54","","","","Full-time","","","","","","","","","man","","","white","","","","4yearColl","$120,001-$140,000"
10,"0","100","311","1","1","1","6","6","6","6","5","6","5","6","6","5","5","6","5","6","5","6","6","6","6","5","5","5","4","5","6","6","5","6","5","5","4","6","6","6","5","6","6","6","5","6","6","5","5","5","4","6","5","5","4","4","5","5","3","3","5","3","6","4","5","4","5","5","6","5","5","5","5","6","6","6","5","6","6","6","6","5","1","2","2","2","3","4","4","4","4","4","3","5","3","5","2","2","4","4","1","4","1","58","","","","","Part-time","","","","","","","","woman","","","white","","","","4yearColl","Over $200,000"
11,"0","100","296","1","1","1","3","1","3","5","6","3","5","5","5","6","5","3","5","5","5","6","6","3","3","5","5","5","2","7","7","7","2","4","7","7","1","2","6","6","1","6","5","7","1","6","1","6","1","1","1","6","1","1","6","5","1","6","5","1","5","1","5","5","5","5","3","5","5","3","5","5","6","6","5","5","5","6","6","6","5","2","4","4","5","4","4","5","5","6","5","1","5","6","5","3","5","4","2","5","3","6","1","28","","","","Full-time","","","","","","","","","woman","","black","","","","","MA","$40,001-$60,000"
12,"0","100","224","1","1","1","5","5","4","4","6","5","5","5","3","4","5","3","4","2","5","4","5","2","5","4","3","3","4","7","4","4","5","5","4","4","5","2","6","3","5","5","3","6","2","7","2","5","4","2","1","6","4","1","4","6","5","4","4","4","5","5","2","2","2","2","2","3","2","2","2","3","6","5","5","5","6","5","5","5","6","5","2","4","2","5","3","5","3","5","2","3","3","5","3","4","4","3","2","5","2","3","2","23","","","","Full-time","","","","","","","","","man","","","white","","","","4yearColl","$60,001-$80,000"
13,"0","100","323","1","1","1","3","5","4","4","4","5","4","4","3","5","5","5","5","5","4","4","3","5","4","5","4","4","5","5","4","4","3","5","5","4","4","3","4","5","5","4","5","4","4","3","4","4","4","4","4","4","3","1","4","4","4","3","4","3","3","3","5","4","4","4","5","5","3","4","5","3","5","4","5","4","5","4","4","5","3","5","2","3","3","4","3","5","5","4","5","4","5","5","4","5","4","4","3","5","5","5","5","26","","","","","Part-time","","","","","","","","woman","","","white","","","","4yearColl","$100,001-$120,000"
14,"0","100","326","1","1","1","3","6","2","1","7","2","6","1","6","6","5","2","2","2","2","6","6","2","6","4","4","4","4","6","6","6","6","2","6","6","6","2","6","6","2","6","6","6","2","6","2","4","2","2","1","6","2","1","6","6","1","6","6","1","6","1","2","4","2","3","2","2","2","5","3","4","6","6","6","6","6","6","6","6","6","6","2","3","2","3","1","4","2","5","2","2","2","4","2","4","2","2","4","3","2","4","2","29","","","","Full-time","","","","","","","","","woman","","","white","","","","4yearColl","$60,001-$80,000"
15,"0","100","191","1","1","1","3","2","3","3","3","4","3","3","3","3","5","3","3","3","2","3","3","3","3","2","3","3","2","6","5","3","6","5","5","5","5","4","4","4","3","4","2","4","5","6","3","6","6","3","3","6","3","1","5","6","3","5","6","3","3","3","3","3","3","3","3","2","3","3","3","2","6","5","6","5","6","5","5","5","6","5","2","2","2","2","4","6","3","5","3","4","3","5","4","2","6","5","2","3","2","3","2","46","","","","Full-time","","","","","","","","","man","","","white","","","","2yearColl","$20,001-$40,000"
16,"0","100","335","1","1","1","1","7","1","1","7","7","7","1","7","1","5","5","7","6","6","2","2","7","2","3","2","2","6","7","6","7","2","1","1","7","2","4","7","4","6","7","1","7","1","7","2","7","2","1","2","7","2","1","4","7","1","4","7","1","7","1","5","3","6","7","5","7","5","2","4","7","6","1","1","6","2","4","2","6","2","2","3","5","3","5","1","4","1","4","1","1","1","4","1","7","4","1","7","6","1","7","1","27","","","","Full-time","","","","","","","","","man","","black","","","","","2yearColl","$40,001-$60,000"
17,"0","100","171","1","1","1","6","6","3","5","3","6","3","6","4","5","5","6","3","6","3","3","6","7","5","5","5","2","3","3","2","6","5","2","6","6","5","2","3","6","5","6","3","3","6","6","5","4","6","3","2","3","3","1","3","3","4","3","6","6","6","3","3","5","5","4","6","5","5","2","4","6","3","6","6","4","5","5","1","5","5","2","2","4","1","3","2","6","6","6","6","2","3","4","4","4","5","6","5","2","2","3","3","25","","","","Full-time","","","","","","","","","woman","","","white","","","","4yearColl","$80,001-$100,000"
18,"0","100","351","1","1","1","5","4","4","4","5","3","6","4","3","4","5","4","4","3","4","5","4","6","5","4","5","6","5","4","3","5","4","5","6","4","3","4","6","5","5","5","3","4","4","4","4","6","5","4","4","3","5","5","4","4","5","6","5","6","5","3","3","3","4","3","5","4","6","4","5","4","5","6","4","3","5","4","3","4","4","5","2","3","3","3","3","3","5","5","5","4","5","4","4","4","3","5","4","4","5","6","4","38","","","","","Part-time","","","","","","","","woman","","black","","","","","GED","$20,001-$40,000"
19,"0","100","405","1","1","1","2","6","2","2","6","2","6","2","2","5","5","6","6","6","6","2","2","6","2","2","2","2","6","6","4","4","4","1","4","6","4","4","6","4","4","6","4","6","2","6","6","4","3","2","4","6","4","1","4","6","4","4","6","2","6","2","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","2","4","2","2","3","6","2","4","1","1","1","6","1","4","6","3","3","6","1","1","1","26","","","","Full-time","","","","","","","","","man","","","white","","","","4yearColl","$40,001-$60,000"
20,"0","100","290","1","1","1","5","5","4","5","6","6","5","3","5","6","5","5","6","5","5","3","4","6","5","3","3","3","5","6","4","5","1","1","3","6","3","3","4","1","2","7","1","7","1","6","1","2","1","1","2","6","1","1","2","6","1","4","7","1","6","1","3","2","2","1","2","4","2","3","1","3","7","7","5","7","6","6","7","5","6","5","3","5","3","5","3","6","5","5","4","2","3","6","5","3","5","3","3","5","2","5","2","33","","","","Full-time","","","","","","","","","woman","asian","","","","","","4yearColl","$40,001-$60,000"
21,"0","100","410","1","1","1","6","2","2","3","2","6","5","6","1","3","5","2","3","2","2","6","6","6","6","7","7","6","2","7","5","7","7","1","3","7","6","2","7","1","2","7","1","7","1","7","1","6","1","1","1","7","2","1","7","7","1","1","7","1","7","1","3","1","2","2","2","3","2","1","2","2","6","5","6","7","5","5","6","6","7","6","2","5","1","5","2","7","1","7","1","1","1","7","1","6","7","1","5","7","1","7","2","30","","","","","Part-time","","","","","","","","man","","","white","","","","4yearColl","$0-$20,000"
22,"0","100","414","1","1","1","5","3","3","4","6","4","6","2","6","5","5","3","3","3","3","5","5","4","5","5","3","5","5","6","3","5","3","2","3","6","3","5","6","3","5","6","3","5","3","7","2","6","2","1","2","7","2","1","6","5","3","3","6","2","5","3","3","5","6","4","2","6","5","6","2","5","6","6","5","5","5","6","6","3","5","3","1","5","1","5","3","4","3","5","3","4","3","4","3","5","5","3","5","5","4","5","3","31","","","","Full-time","","","","","","","","","man","","","","hispanic","","","MA","$60,001-$80,000"
23,"0","100","333","1","1","1","2","5","2","2","7","5","6","2","3","3","5","2","2","2","2","6","6","2","6","2","3","6","4","6","2","5","2","2","2","6","2","3","7","3","5","7","2","7","2","7","3","5","2","1","1","7","2","1","6","7","2","6","7","2","7","2","5","4","5","3","2","3","3","3","3","5","6","6","5","6","5","5","5","4","6","6","2","4","3","3","2","5","4","6","2","2","1","5","2","6","6","2","4","6","2","6","2","33","","","","","Part-time","","","","","","","","woman","","","white","","","","4yearColl","$20,001-$40,000"
24,"0","100","423","1","1","1","6","6","2","2","6","6","6","2","6","3","5","2","1","2","2","6","6","4","6","5","5","5","3","6","6","7","2","2","3","7","6","3","5","2","3","5","2","6","1","7","2","4","1","1","2","6","1","1","5","6","2","5","5","2","6","1","5","5","5","6","5","2","5","2","5","7","6","3","3","2","3","6","5","5","5","4","1","5","1","5","2","6","1","5","1","1","1","6","1","6","3","1","5","3","1","4","1","48","","","","Full-time","","","","","","","","","woman","","","white","","","","4yearColl","$60,001-$80,000"
25,"0","100","365","1","1","1","2","5","2","2","5","2","6","2","5","5","5","2","2","2","2","5","5","2","5","2","2","3","4","7","2","4","2","2","1","6","2","4","7","2","4","7","2","7","2","5","2","4","2","3","1","5","1","1","6","6","3","6","6","2","6","2","3","3","3","3","3","5","3","3","5","5","5","5","5","3","5","5","5","5","5","3","2","4","1","4","2","5","1","2","1","2","1","4","1","5","5","2","4","5","2","4","2","","","","","Full-time","","","","","","","","",NA,"","","","","","Click to write Choice 7","MA",""
26,"0","100","442","1","1","1","6","2","2","1","4","5","4","1","6","4","5","6","7","7","6","1","2","7","1","7","7","7","1","5","6","5","5","4","2","4","6","2","6","3","5","6","1","5","2","7","2","5","2","1","1","7","1","1","3","6","5","4","6","1","7","2","6","6","7","6","6","6","1","6","6","7","2","6","1","1","1","6","2","1","1","2","1","4","3","3","2","1","1","3","3","7","1","1","1","5","6","2","5","2","2","3","7","41","","","","Full-time","","","","","","","","","man","","","white","","","","PHD","Over $200,000"
27,"0","100","429","1","1","1","2","5","2","4","5","2","5","3","6","1","5","4","2","4","4","6","4","4","4","2","2","3","3","5","5","4","5","4","5","5","5","3","5","4","4","5","3","5","3","5","3","4","3","3","2","5","3","1","4","6","2","4","5","2","5","4","3","3","5","4","2","3","3","4","4","5","2","2","4","2","4","3","4","4","5","5","1","1","1","1","3","2","1","4","2","2","3","3","2","4","6","4","5","5","1","5","4","44","","","thanks for a decent pay rate it was interesting!","Full-time","","","","","","","","","man","","","white","","","","GED","$20,001-$40,000"
28,"0","100","413","1","1","1","3","5","4","2","5","4","5","3","6","5","5","2","4","3","3","5","5","3","5","2","2","2","5","5","3","5","5","3","3","6","3","4","5","4","4","5","3","6","3","5","3","4","3","2","2","5","2","1","4","5","3","4","5","3","5","2","3","3","5","3","3","3","4","4","4","5","6","5","5","5","5","5","5","4","6","5","2","4","2","3","2","4","3","5","3","2","2","4","3","4","5","2","4","5","2","6","2","48","","","","Full-time","","","","","","","","","man","","","white","","","","4yearColl","$140,001-$160,000"
29,"0","100","301","1","1","1","7","2","4","6","5","6","6","7","5","3","5","2","3","2","1","5","5","6","6","7","6","6","2","7","5","3","3","2","4","6","6","2","7","3","4","6","1","6","2","6","4","5","1","2","2","6","1","1","3","6","3","4","6","3","7","4","6","6","5","6","6","5","6","6","7","6","6","6","7","3","5","6","7","6","5","4","2","3","2","2","5","6","4","5","6","2","6","6","7","1","7","6","4","7","2","7","3","56","","","","Full-time","","","","","","","","","man","","","white","","","","MA","$100,001-$120,000"
30,"0","100","410","1","1","1","7","1","1","3","6","6","4","2","2","2","5","5","5","6","5","3","3","6","3","6","5","6","2","5","6","2","1","1","1","7","2","6","7","2","2","7","1","7","3","7","3","3","1","1","2","7","1","1","5","5","2","3","7","1","7","2","2","3","4","2","3","5","3","6","3","7","7","5","6","6","7","5","6","7","4","4","2","4","1","5","4","7","3","7","2","1","4","5","4","4","5","2","4","4","3","6","2","40","","","","Full-time","","","","","","","","","woman","","","white","","","","GED","$80,001-$100,000"
31,"0","100","387","1","1","1","4","7","2","1","7","5","7","1","6","3","5","3","4","4","3","3","5","5","4","5","5","5","3","7","2","7","1","1","1","7","4","4","7","4","4","6","4","6","1","7","1","7","1","1","1","7","1","1","4","7","1","4","7","1","7","1","6","6","5","5","4","4","5","5","5","7","4","3","4","3","3","3","4","6","7","7","1","3","1","4","1","4","3","4","1","5","1","4","3","7","4","1","7","4","1","5","1","36","","","","Full-time","","","","","","","","","woman","","","white","","","","2yearColl","Over $200,000"
32,"0","100","400","1","1","1","1","7","1","1","7","4","7","1","7","4","5","4","1","4","1","7","7","4","4","4","1","4","4","7","4","4","4","1","4","7","4","4","7","4","4","7","1","7","1","7","1","4","1","1","1","7","1","1","7","4","1","7","7","1","7","1","1","4","4","4","1","4","4","2","2","5","7","7","4","7","4","7","4","4","7","4","1","5","1","5","1","6","1","4","1","1","1","6","1","7","4","1","7","7","1","7","1","41","","","","Full-time","","","","","","","","","man","","","white","","","","GED","$20,001-$40,000"
33,"0","100","411","1","1","1","5","5","6","6","6","4","5","6","5","5","5","5","6","5","5","5","5","5","4","5","6","5","5","5","5","5","5","5","5","6","6","4","5","5","4","5","6","5","5","5","7","4","6","5","6","4","5","1","5","4","4","6","6","5","5","5","5","5","5","5","5","5","5","6","5","6","6","5","5","6","5","6","6","6","5","6","4","4","4","4","2","5","5","6","5","6","3","5","5","6","6","5","5","5","5","5","5","28","","","","Full-time","","","","","","","","","man","","","white","","","","4yearColl","$80,001-$100,000"
34,"0","100","359","1","1","1","2","6","2","2","6","5","7","1","6","4","5","2","2","2","4","6","6","4","6","2","3","4","3","7","6","4","4","2","4","7","3","5","7","4","3","7","2","7","3","6","2","2","2","2","2","7","1","1","5","5","4","6","7","1","7","3","2","6","6","5","2","6","2","5","3","6","7","6","6","7","6","7","6","4","6","6","3","4","3","4","2","7","1","4","1","2","2","7","2","6","6","2","4","7","1","7","1","33","","","","Full-time","","","","","","","","","man","","","white","","","","GED","$20,001-$40,000"
35,"0","100","476","1","1","1","5","6","3","1","7","7","5","1","2","1","5","7","7","7","7","3","4","5","1","7","7","7","1","6","1","4","1","3","1","6","1","6","6","1","6","6","1","6","1","7","1","2","1","3","1","7","1","1","7","7","1","7","7","1","7","1","7","7","7","7","4","7","6","7","6","6","4","4","1","1","1","7","4","7","7","5","3","3","3","3","3","5","4","7","4","6","4","5","1","7","7","4","4","4","1","7","4","31","","","","Full-time","","","","","","","","","woman","","","white","hispanic","","","2yearColl","$20,001-$40,000"
36,"0","100","456","1","1","1","5","5","2","3","6","5","5","1","3","3","5","5","5","5","5","5","5","3","3","4","5","5","2","6","6","5","6","3","6","7","5","3","6","5","3","6","5","6","2","6","3","3","3","2","3","6","3","1","5","6","3","5","6","3","6","2","5","5","5","5","5","5","5","3","6","6","3","2","3","2","3","3","5","5","3","3","2","4","3","5","2","6","4","5","2","2","2","6","3","4","7","2","5","6","1","6","2","","","","","Full-time","","","","","","","","","man","","","white","","","","MA","$100,001-$120,000"
37,"0","100","431","1","1","1","3","5","3","4","6","3","5","3","5","4","5","3","3","3","3","5","5","3","5","4","3","5","4","6","4","6","2","2","3","7","3","6","6","5","4","6","5","6","2","7","4","5","2","2","1","6","2","1","3","6","2","5","6","1","7","1","2","3","3","4","3","4","4","3","5","5","6","4","5","6","5","5","5","6","5","5","2","2","2","2","4","6","3","5","3","2","3","5","3","5","5","5","4","5","2","5","3","37","","","","Full-time","","","","","","","","","man","","","white","","","","4yearColl","Over $200,000"
38,"0","100","373","1","1","1","4","5","4","5","4","5","4","5","4","5","3","4","4","3","5","5","4","5","4","3","5","3","4","6","4","6","3","3","3","6","4","4","5","6","3","5","2","5","2","5","4","5","5","4","3","5","3","1","4","5","5","6","3","2","5","5","4","3","5","3","5","5","4","3","5","4","5","5","5","3","5","4","3","5","4","4","2","3","3","3","2","5","4","4","4","2","4","4","3","3","4","4","4","4","5","5","4","35","","","","Full-time","","","","","","","","","man","","","white","","","","4yearColl","$40,001-$60,000"
39,"0","100","433","1","1","1","6","3","7","7","6","7","7","2","2","5","5","2","3","3","3","5","3","6","2","7","7","7","2","7","1","6","2","1","1","6","1","2","7","3","6","7","2","7","1","6","2","6","1","1","1","6","1","1","7","5","2","7","5","1","6","1","6","5","3","3","3","3","2","3","6","5","7","2","5","2","5","2","6","6","6","5","2","4","1","4","2","4","1","6","2","1","1","4","1","7","6","3","7","5","1","5","1","35","","","","Full-time","","","","","","","","","man","asian","","","","","",NA,"$60,001-$80,000"
40,"0","100","464","1","1","1","4","6","2","2","7","2","6","2","7","5","5","2","2","2","2","2","2","2","2","4","4","4","6","6","6","6","4","4","5","6","6","3","6","4","3","5","3","4","2","4","2","5","2","2","2","5","2","1","6","5","2","6","6","1","6","1","3","4","4","4","4","4","5","3","3","4","6","5","4","6","5","5","6","5","6","5","2","4","2","2","3","5","4","6","2","3","2","4","2","6","5","5","4","6","6","5","6","30","","","","Full-time","","","","","","","","","woman","","","white","","","","4yearColl","$40,001-$60,000"
41,"0","100","342","1","1","1","2","6","2","2","7","3","7","1","5","5","5","4","2","1","1","6","7","5","6","1","2","2","7","7","3","6","3","3","2","7","2","6","6","3","4","7","1","7","3","6","2","6","1","3","1","6","2","1","2","5","1","4","7","1","6","2","2","1","2","2","1","3","4","3","6","5","7","7","5","6","6","6","7","5","7","4","2","4","3","4","3","6","3","5","5","2","1","6","3","6","6","2","3","5","1","5","2","28","","","","Full-time","","","","","","","","","woman","","","white","","","","4yearColl","$40,001-$60,000"
