og_pid,description
7,"I work as an Ecommerce Specialist for a Fabric company that is expanding their virtual presence. As such, I make many nuance and minor decisions about the visual layout as well as the descriptions and images used for items/listings. All of these add up to a much bigger picture to increase sales and revenue. My manager was trying to get me to use hand-made and uploaded images for each listing, versus finding the manufacturing made or other second hand made images. This would be far more time consuming and would hurt our ability to streamline. The manager basically demanded that I did so, and told me that it was an order, and that they will hire someone to produce those images and provide them too me. They weren't too loud, but they were forceful."
9,"I was up for a promotion at work, and for context should add I was also 34 weeks pregnant. We were working to debut a product our engineering team had been working on. My manager was trying to get me to fly cross country to present our product to the board. They didn't ask if I wanted to go, and they knew I wasn't allowed to fly because of my pregnancy and said if I involved HR I would be sorry."
10,"I work at a school, and I work with my supervisor in the Spring to coordinate testing. Well, my elderly Mom had a doctors appointment for one of those days, and I asked for it off to be with her, thinking that she would be ok on her own for one day. She flew into a rage and yelled at me so much that spit got on my face. She intimidated me into not taking that day off and to reschedule Mom's appointment."
12,"I am a worker at a retirement home and for some reason there is a chair in a person's bathroom which I sit sometimes to take a short break. My boss saw me one time, marched me to her office and had a chat with me, telling me I can't do that. I said very little and got out of there as soon as I could."
13,"I work as a librarian, my manager wanted me to spearhead a project for a new children's exhibit. I was very busy working on other projects for another manager and told her this. I found out they were the ones put in charge of the exhibit and were trying to foist it onto me. She threatened to revoke my already established days off."
15,"I am a lab manager for a forensics lab. My manager wanted me to have the lab accredited through a national accreditation agency. He ordered me to do an enormous amount of documentation, research, and other work knowing I wouldn't be compensated for the additional work, and he told me he simply didn't care how many extra hours I had to put into it. He was stern and rude about it."
19,"I worked at a small business gift shop owned by a local man. One winter, he was annoyed that sales were low. He told me unless I started to sell more, he wouldn't reimburse me for my Uber rides home anymore. He thought by threatening me, I would become a better salesperson."
21,I worked at Bath and Body Works. Our manager at the time wanted us to give everyone that walked in a hand massage with the lotion. I don't like touching random people so I wasn't doing it. She pulled me to the back and sternly let me know she wasn't happy with me not doing it.
22,"My manager was trying to get me to file paperwork at a court that I knew was not correct. He was very insecure with himself and his role as manager and wanted to show me that he was boss and I had to do what he wanted. Even though I was just a paralegal, I knew the correct information that needed to be included in the court document before it was filed with the court. I brought this point up to my manager and he basically told me I didn't know what I was talking about and that I just needed to do as he asked. He called me into his office and told me sternly my job was to do his work as he requested. I was very hesitant and didn't know what to do because I knew if I filed the paperwork as is, it would be rejected by the court."
28,"I work in accounting and my supervisor oversees just our sector of accounting, not all of accounting for the whole company. I tend to be more savvy in the accounting software than the rest of my team including my manager. I will find more efficient ways to complete reports or tasks. I will share these findings in my group's Teams chat. My boss will often speak down to me or try and pinhole my solutions on Teams. She speaks to me like a child and will say things like ""did I tell you to find a new way to do this or did I ask you to run the report as we always do?"" or ""Is there a reason you did xyz when the rest of us are ok with doing abc like I ask?"""
29,"It was a project which was awarded to my manager, he couldn't keep up with the project and then asked for my help in the project completion.
 
 While in the process of the getting the project done, my method of getting the work done was different from his and it was getting noticeable. He began asserting dominance stating the project was his and things needs to be done his way and I was only trying to be on the spotlight by using my method."
30,"I was working as a cashier at a grocery store. I was tasked with asking customers to donate to a children’s charity. That day, many customers declined to donate. The manager, who was responsible for running the store, called me to the back room and immediately accused me of not doing my job. He used a tone that was accusatory and bossy, stating that I was not asking for donations. He wanted me to obtain more donations so the store could beat others in the competition to raise the most funds."
31,"My current manager told me, when I was first hired, that I completed my cleaning of the rooms too slow. She wanted me to go faster, so she reminded me that there were many people that were faster than me and if I kept performing the way I was performing she would let me go."
33,"I was working at a commerical bank a couple of years ago, and my acting director, who was my de facto line manager, became very unappy when he found out that I was responding to the CFO regarding an issue that the CFO had emailed me directly about.
 
 This led to a very heated argument where he accused me of not respecting hierarchy and authority, and he began yelling and shouting and throwing things around."
37,"As a marketing coordinator in a fast-paced marketing and sales agency, I found myself under the leadership of a dominant former manager. she was renowned for her assertiveness and uncompromising drive to achieve results, often pushing her team to their limits in pursuit of excellence.
 In one memorable instance, my manager was determined to revamp our company's social media strategy to increase sales, engagement and brand visibility. Her dominant behavior manifested in various ways throughout the process. First, she held a high-pressure meeting where she outlined her vision with unwavering confidence, leaving little room for dissent. Her tone was authoritative, and her body language exuded a sense of control, effectively conveying her expectations to the team."
38,There was a job that needed to be attempted the way that the company wanted it to be accomplished by following a set of instructions that were left by the client. The supervisor made sure we worked on teams and watched everyone including myself like an owl because he wanted it done as instructed. The supervisor was very demanding with the job and at times made it unbearable to do our job.
39,"Several years back I was working at a gym. There's usually 3-4 of us at the front desk answering calls, signing people up for membership, giving tours, and answering general questions/concerns people may have. There's also generally one person designated to janitorial duty/cleaning at all times. The janitor duty wasn't mine, but occasionally we did help with cleaning tasks. On this day, no different than any other day, I was briefly chatting with a friend at the gym in sight of the front desk. My manger at the time realised this and yelled at me to go clean something. I put an emphasis on yelled because it was definitely not common and primarily due to that fact was talking to a friend. I said okay and continued talking to close the convo. After about a min. or two, he yelled again. So this time, I immediately closed the convo with my friend, kind of looking at each other with a slight grin realising the power trip going on."
42,i work as a nurse in a healthcare facility taking care of patient needs is my role.my manager is my nurse in charge and oversees my roles and allocates duties if necessary.He one day asked me to take up my colleague's duties as i was signing out. he did it forcefully without considering my plans and state of fatigue.
43,"My role is working in disease control for state government and my boss is the program manager. We work in tuberculosis control and treat patients and try to keep the disease from spreading. She also sees patients but works more administratively usually and as a point of contact. I had recently come back from vacation and a few weeks later, my boss said my focus at work seems off in general and wrote a list with a few examples of things she had seen. She told me she is not a micromanager but can be toward me if needed and that if I can't find something to do, she can always find plenty, that my work quality reflects on her and that I'm not to make her look bad."
44,"I worked as a Program Manager for a large customer. My manager was a Director at our company. He invited himself to a customer meeting that had been scheduled in another city. He wanted to review the customer and our operations. My team met him at a hotel before meeting with the customer. The customer environment was business casual, so my team dressed for that. In fact, business casual dress was common for all customer engagements. My manager did not approve. He strongly demanded that the entire team wear formal suits, ties and/or dresses for any and all customer visits. He was verbally abusive about the situation. Next, he noticed that some of the hotel rooms we were staying in during the customer visit were more expensive than others. He demanded that only senior-level employees be allowed to stay in the more expensive rooms, and actually made us change our reservations."
47,I had a manager that was very dominant when I worked in a warehouse. We would take frozen prepared food and load pallets and trucks. He would constantly threaten to let us go if we did not do things fast enough for his liking and would constantly use fear of our job security to get his way right away. One day at work I had the flu and working the freezer and he was constantly badgering me for being so slow that day. I tried to use a sick day but he refused to let me take sick time saying he we was short staffed. So I was really sick working in a freezer and getting constantly badered by this manager.
51,"I work as a delivery driver and one of my responsibility is to see that the vehicle is washed in the evening of the day or after the day's work. There are few days that I couldn't take the vehicle to the washing station due to lateness and time factor. This lateness is mainly caused by people in the itinerary department or sometimes delay from customers. Whenever my boss sees the condition of the vehicle the following morning, he verbally attacks me and threatens me with letter of queries. He would insist that I get the vehicle washed myself on the spot. He would always try to absolve the guys in the itinerary of any blame and put all blames on me. He would always insist that the vehicle must always be in pristine condition irrespective of any lateness or lapses from other people."
52,"I work as a software test engineer and my manager was trying to make me sign off on the latest module we implemented. There was a lot of pieces to test and I was not given enough time, because the development team did not finish on time. My manager was contacting me multiple times every day if I was finished. He would just repeat the same sentences, he said we really needed to finish the tests and hand it over, otherwise it would be a huge problem with the release."
