"PID","choice","points","attitude","rec","is_dom","age","race","edu","income","gender","employment","feedback"
1,"No",0,1,0,1,56,"white","MA","$120,001-$140,000","man","Full-time","Thank you."
2,"No",0,4,0,1,43,"white","4yearColl","$180,001-$200,000","woman","Full-time",""
3,"No",0,2,0,1,50,"white","GED","$20,001-$40,000","man","Part-time",""
4,"No",0,2,0,1,29,"white","4yearColl","$0-$20,000","man","Unemployed",""
5,"No",0,3,1,0,31,"hispanic","GED","$0-$20,000","woman","Unemployed",""
6,"No",0,2,0,1,31,"white","4yearColl","$60,001-$80,000","man","Full-time",""
7,"No",0,3,0,0,33,"white","GED","$80,001-$100,000","man","Full-time",""
8,"No",0,2,0,0,38,"asian","GED","$40,001-$60,000",NA,"Full-time",""
9,"No",0,1,0,1,37,"white","4yearColl","$140,001-$160,000","man","Full-time",""
10,"No",0,1,0,1,43,"white","MA","$80,001-$100,000","woman","Full-time",""
11,"No",0,2,0,1,24,"white","GED","$60,001-$80,000","man","Full-time",""
12,"No",0,2,0,0,NA,"white","4yearColl","$80,001-$100,000","man","Full-time",""
13,"No",0,3,1,1,18,"black","GED","$140,001-$160,000","woman","Student",""
14,"No",0,2,0,1,50,"white","PHD","$140,001-$160,000","woman","Full-time",""
15,"No",0,2,0,1,45,"white","GED","$60,001-$80,000","man","Part-time",""
16,"No",0,4,1,0,39,"black","GED","$0-$20,000","man","Full-time",""
17,"No",0,1,0,1,40,"white","GED","$40,001-$60,000","woman","Full-time",""
18,"Yes",8,2,1,0,28,"white","4yearColl","$120,001-$140,000","man","Full-time",""
19,"No",0,1,0,1,25,"white","MA","$40,001-$60,000","man","Full-time",""
20,"No",0,4,0,0,65,"white","GED","$60,001-$80,000","woman","Full-time",""
21,"No",0,4,1,0,30,"black","GED","$60,001-$80,000","woman","Part-time",""
22,"No",0,2,0,1,59,"white","MA","$60,001-$80,000","man","Retired",""
23,"No",0,3,0,1,29,"black","4yearColl","$60,001-$80,000","man","Full-time","Everything ran smooth and was easy to understand."
24,"No",0,1,0,1,60,"white","GED","$20,001-$40,000","man","Full-time",""
25,"Yes",27,3,1,0,32,"multiracial","2yearColl","$20,001-$40,000","woman","Part-time, Student",""
26,"Yes",10,4,1,0,NA,"white","4yearColl","$160,001-$180,000","man","Full-time",""
27,"No",0,2,0,1,29,"black","2yearColl","$40,001-$60,000","woman","Full-time",""
28,"No",0,3,0,1,22,"multiracial","GED","$20,001-$40,000","woman","Part-time",""
29,"Yes",33,4,0,0,40,"asian","MA","$140,001-$160,000","man","Other",""
30,"Yes",16,3,0,0,57,"white","2yearColl","$60,001-$80,000","woman","Unemployed",""
31,"No",0,5,1,0,67,"white","2yearColl","$80,001-$100,000","woman","Retired",""
32,"Yes",17,2,0,1,29,"white","4yearColl","$40,001-$60,000","woman","Part-time",""
33,"No",0,1,0,0,33,"white","GED","$0-$20,000","man","Other",""
34,"No",0,3,0,0,56,"white","4yearColl","$60,001-$80,000","woman","Retired",""
35,"No",0,3,0,1,33,"multiracial","GED","$20,001-$40,000","man","Student","none"
36,"Yes",22,4,0,0,39,"white","GED","$20,001-$40,000","woman","Full-time",""
37,"No",0,5,0,1,36,"white","2yearColl","$100,001-$120,000","woman","Homemaker","None"
38,"No",0,1,0,1,31,"black","4yearColl","$80,001-$100,000","woman","Full-time",""
39,"Yes",18,3,1,1,41,"asian","GED","$0-$20,000","man","Full-time",""
40,"Yes",12,5,1,1,38,"white","GED","$60,001-$80,000","man","Full-time","Great study really enjoyed taking it :)"
41,"Yes",36,5,0,1,24,"white","2yearColl","$40,001-$60,000","man","Full-time",""
42,"No",0,4,1,1,39,"asian","4yearColl","$80,001-$100,000","man","Full-time",""
43,"Yes",22,5,0,0,42,"white","4yearColl","$20,001-$40,000","man","Full-time",""
44,"No",0,2,0,1,41,"asian","4yearColl","$80,001-$100,000","man","Unemployed","The tone of the ""manager"" seemed to be that of an entitled and forceful person. A good manager would've brought more positivity to his message, maybe saying something like ""I encourage you to do well, if you score X or above, then I'll give you a $2 bonus. Good luck!"" In short, I never felt encouraged by the manager in this study to even try because of the way he worded the message. I would never risk NOT getting a bonus after doing my best to give the manager his bonus. That's just inefficient for me."
45,"Yes",22,4,1,1,24,"asian","4yearColl","$0-$20,000","man","Student",""
46,"No",0,5,0,1,40,"white","4yearColl","$40,001-$60,000","man","Full-time","Thanks"
47,"Yes",38,4,1,0,30,"asian","4yearColl","$60,001-$80,000","man","Full-time",""
48,"Yes",13,5,1,0,29,"white","PHD","$140,001-$160,000","man","Full-time",""
49,"Yes",44,6,1,0,18,"asian","GED","Over $200,000","woman","Student",""
50,"Yes",40,4,0,0,24,"white","GED","$20,001-$40,000","woman","Student",""
51,"Yes",16,6,1,0,33,"white","4yearColl","$140,001-$160,000","man","Full-time",""
52,"Yes",31,2,1,1,31,"white","GED","$100,001-$120,000","woman","Full-time",""
53,"No",0,4,1,1,33,"black","4yearColl","$40,001-$60,000","woman","Full-time",""
54,"Yes",35,6,1,0,18,"asian","GED","$80,001-$100,000","man","Student",""
55,"Yes",36,2,0,1,27,"white","4yearColl","$100,001-$120,000","woman","Full-time",""
56,"Yes",32,1,0,1,22,"hispanic","GED","$20,001-$40,000","woman","Full-time",""
57,"No",0,3,0,1,24,"asian","2yearColl","$40,001-$60,000","woman","Unemployed",""
58,"Yes",40,2,0,1,32,"asian","4yearColl","$120,001-$140,000","woman","Unemployed",""
59,"Yes",23,4,1,1,63,"white","2yearColl","$60,001-$80,000","woman","Part-time",""
60,"Yes",39,7,1,0,28,"white","GED","$40,001-$60,000","woman","Unemployed",""
61,"No",0,4,0,0,37,"black","GED","$60,001-$80,000","man","Full-time",NA
